nome,valor_compra,preco_venda,unidade
TECIDO HELANCA LIGHT - 10g,29.55,48.0,unidade
TECIDO HELANCA LIGHT - 10g,28.66,46.58,unidade
TECIDO HELANCA LIGHT - 10g,27.97,45.47,unidade
TECIDO HELANCA LIGHT - 10g,19.5,31.92,unidade
TECIDO HELANCA LIGHT - 10g,14.3,23.6,unidade
TECIDO HELANCA LIGHT - 10g,13.55,22.4,unidade
TECIDO HELANCA LIGHT - 10g,13.02,21.55,unidade
TECIDO HELANCA LIGHT - 10g,12.65,20.96,unidade
TECIDO HELANCA LIGHT - 10g,24.5,39.92,unidade
TECIDO HELANCA LIGHT - 10g,19.5,31.92,unidade
TECIDO HELANCA LIGHT - 10g,18.65,30.56,unidade
TECIDO HELANCA LIGHT - 10g,17.98,29.49,unidade
TECIDO HELANCA LIGHT - 10g,17.53,28.77,unidade
TECIDO HELANCA LIGHT - 10g,31.5,51.12,unidade
TECIDO HELANCA LIGHT - 10g,25.7,41.84,unidade
TECIDO HELANCA LIGHT - 10g,24.65,40.16,unidade
TECIDO HELANCA LIGHT - 10g,23.9,38.96,unidade
TECIDO HELANCA LIGHT - 10g,23.29,37.98,unidade
TECIDO HELANCA LIGHT - 10g,58.5,94.32,unidade
TECIDO HELANCA LIGHT - 10g,49.95,80.64,unidade
TECIDO HELANCA LIGHT - 10g,48.58,78.45,unidade
TECIDO HELANCA LIGHT - 10g,47.47,76.67,unidade
TECIDO HELANCA LIGHT - 10g,51.5,83.12,unidade
TECIDO HELANCA LIGHT - 10g,39.5,63.92,unidade
TECIDO HELANCA LIGHT - 10g,33.5,54.32,unidade
TECIDO HELANCA LIGHT - 10g,32.35,52.48,unidade
TECIDO HELANCA LIGHT - 10g,31.34,50.86,unidade
TECIDO HELANCA LIGHT - 10g,30.59,49.66,unidade
TECIDO HELANCA LIGHT - 10g,24.5,39.92,unidade
COUCHE BRILHO - DIGITAL - 150g,1.86,3.7,unidade
COUCHE BRILHO - DIGITAL - 150g,1.68,3.41,unidade
COUCHE BRILHO - DIGITAL - 250g,2.58,4.84,unidade
COUCHE BRILHO - DIGITAL - 150g,2.14,4.14,unidade
COUCHE BRILHO - DIGITAL - 150g,6.12,10.52,unidade
COUCHE BRILHO - DIGITAL - 150g,2.09,4.06,unidade
COUCHE BRILHO - DIGITAL - 150g,1.8,3.6,unidade
COUCHE BRILHO - DIGITAL - 150g,2.83,5.24,unidade
COUCHE BRILHO - DIGITAL - 150g,2.36,4.5,unidade
COUCHE BRILHO - DIGITAL - 150g,6.38,10.92,unidade
COUCHE BRILHO - DIGITAL - 150g,2.78,5.17,unidade
COUCHE BRILHO - DIGITAL - 150g,2.64,4.94,unidade
COUCHE BRILHO - DIGITAL - 150g,3.48,6.28,unidade
COUCHE BRILHO - DIGITAL - 150g,3.04,5.58,unidade
COUCHE BRILHO - DIGITAL - 150g,7.12,12.12,unidade
COUCHE BRILHO - DIGITAL - 150g,1.24,2.7,unidade
COUCHE BRILHO - DIGITAL - 150g,1.13,2.53,unidade
COUCHE BRILHO - DIGITAL - 150g,1.72,3.47,unidade
COUCHE BRILHO - DIGITAL - 150g,1.43,3.0,unidade
COUCHE BRILHO - DIGITAL - 150g,4.08,7.25,unidade
COUCHE BRILHO - DIGITAL - 150g,1.39,2.94,unidade
COUCHE BRILHO - DIGITAL - 150g,1.33,2.85,unidade
COUCHE BRILHO - DIGITAL - 150g,1.88,3.73,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.0,0.72,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.0,0.72,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.0,0.72,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.0,0.73,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.01,0.73,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.01,0.73,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.01,0.73,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.01,0.73,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.01,0.73,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.01,0.73,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.01,0.73,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.01,0.73,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.01,0.73,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.01,0.73,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.01,0.73,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.01,0.73,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.01,0.73,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.01,0.73,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.01,0.73,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.01,0.73,unidade
"BANNERS, FAIXAS, LONAS E TECIDOS",0.01,0.73,unidade
